Node Type,Name,id
ingredient,Chicken,0
ingredient,Yogurt,0
ingredient,Ginger,0
ingredient,Garlic,0
ingredient,Garam Masala,0
ingredient,Chili Powder,0
ingredient,Cumin,0
ingredient,Tomato Puree,0
ingredient,Cream,0
ingredient,Butter,0
ingredient,Salt,0
ingredient,Coriander,0
country,India,0
dish,Chicken Tikka Masala,0
ingredient,Basmati Rice,1
ingredient,Chicken,1
ingredient,Yogurt,1
ingredient,Onions,1
ingredient,Garlic,1
ingredient,Ginger,1
ingredient,Tomatoes,1
ingredient,Spices,1
ingredient,Saffron,1
ingredient,Mint Leaves,1
ingredient,Fried Onions,1
country,India,1
dish,Chicken Biryani,1
ingredient,Chicken,2
ingredient,Yogurt,2
ingredient,Tomatoes,2
ingredient,Onions,2
ingredient,Garlic,2
ingredient,Ginger,2
ingredient,Butter,2
ingredient,Cream,2
ingredient,Spices,2
ingredient,Fenugreek Leaves,2
country,India,2
dish,Butter Chicken,2
ingredient,Basmati Rice,3
ingredient,Chicken,3
ingredient,Onions,3
ingredient,Ginger,3
ingredient,Garlic,3
ingredient,Yogurt,3
ingredient,Tomatoes,3
ingredient,Spices,3
ingredient,Mint Leaves,3
ingredient,Coriander Leaves,3
ingredient,Saffron,3
ingredient,Ghee,3
country,India,3
dish,Chicken Biryani,3
ingredient,Chicken,4
ingredient,Yogurt,4
ingredient,Lemon Juice,4
ingredient,Ginger,4
ingredient,Garlic,4
ingredient,Garam Masala,4
ingredient,Cumin,4
ingredient,Coriander,4
ingredient,Turmeric,4
ingredient,Paprika,4
ingredient,Tomato Paste,4
ingredient,Butter,4
ingredient,Cream,4
ingredient,Salt,4
ingredient,Cilantro,4
country,India,4
dish,Chicken Tikka Masala,4
ingredient,Chicken,5
ingredient,Yogurt,5
ingredient,Butter,5
ingredient,Tomatoes,5
ingredient,Onions,5
ingredient,Garlic,5
ingredient,Ginger,5
ingredient,Cream,5
ingredient,Spices,5
country,India,5
dish,Butter Chicken,5
ingredient,Chicken,6
ingredient,Yogurt,6
ingredient,Ginger Garlic Paste,6
ingredient,Garam Masala,6
ingredient,Turmeric Powder,6
ingredient,Red Chili Powder,6
ingredient,Butter,6
ingredient,Tomato Puree,6
ingredient,Cream,6
ingredient,Kasuri Methi,6
ingredient,Salt,6
country,India,6
dish,Butter Chicken,6
ingredient,Basmati Rice,7
ingredient,Chicken Or Lamb Meat,7
ingredient,Onions,7
ingredient,Tomatoes,7
ingredient,Ginger,7
ingredient,Garlic,7
ingredient,Yogurt,7
ingredient,Spices,7
ingredient,Mint Leaves,7
ingredient,Coriander Leaves,7
ingredient,Fried Onions,7
ingredient,Lemon Juice,7
country,India,7
dish,Biryani,7
ingredient,Chicken,8
ingredient,Yogurt,8
ingredient,Onions,8
ingredient,Tomatoes,8
ingredient,Butter,8
ingredient,Garlic,8
ingredient,Ginger,8
ingredient,Garam Masala,8
ingredient,Cumin,8
ingredient,Turmeric,8
ingredient,Chili Powder,8
ingredient,Cream,8
ingredient,Cilantro,8
country,India,8
dish,Butter Chicken,8
ingredient,Chicken,9
ingredient,Ghee,9
ingredient,Ginger-Garlic Paste,9
ingredient,Tomatoes,9
ingredient,Spices,9
ingredient,Cream,9
ingredient,Fenugreek Leaves,9
country,India,9
dish,Butter Chicken,9
ingredient,Basmati Rice,10
ingredient,Chicken Or Mutton,10
ingredient,Onions,10
ingredient,Tomatoes,10
ingredient,Yogurt,10
ingredient,Ginger-Garlic Paste,10
ingredient,Spices,10
ingredient,Saffron,10
ingredient,Fried Onions,10
ingredient,Cashews,10
ingredient,Raisins,10
ingredient,Clarified Butter,10
country,India,10
dish,Biryani,10
